date,shock_warning,forward_5d_return
2018-10-16,False,0.6676199837588914
2018-10-17,False,0.1301240012466608
2018-10-18,False,0.219943648239983
2018-10-19,False,0.38337662150444735
2018-10-22,False,-1.003506514035512
2018-10-23,False,-2.231391295039394
2018-10-24,False,-2.649253186950039
2018-10-25,False,1.1196984121757922
2018-10-26,False,0.49076200909584794
2018-10-29,False,1.5665772704619212
2018-10-30,False,0.3811397501178796
2018-10-31,False,2.0795671458730816
2018-11-01,False,-2.356285655211245
2018-11-02,False,-4.193603734409609
2018-11-05,False,-4.409701157006108
2018-11-06,False,-3.562506413671939
2018-11-07,False,-3.309958738505656
2018-11-08,False,-1.041124685051594
2018-11-09,False,1.7919745808642
2018-11-12,False,2.870940217230885
2018-11-13,False,2.0923496921760356
2018-11-14,False,2.9790129272592494
2018-11-15,False,-0.11245167800858838
2018-11-16,False,-1.2263227460420039
2018-11-19,False,-2.2431717355742036
2018-11-20,False,0.39229969162879896
2018-11-21,False,-1.4398731266959213
2018-11-23,False,-0.897056037947473
2018-11-26,False,1.386382378637594
2018-11-27,False,3.2119727934835947
2018-11-28,False,0.6064207813620868
2018-11-29,False,2.0732224178863037
2018-11-30,False,2.688106910436619
2018-12-03,False,0.8171792977724773
2018-12-04,False,1.395088420016371
2018-12-06,False,2.328480096551833
2018-12-07,False,-0.405708083505861
2018-12-10,False,1.1058961754524068
2018-12-11,False,0.5913952292797662
2018-12-12,False,-0.1563239325194218
2018-12-13,False,0.16281237950339858
2018-12-14,False,0.4811711866617018
2018-12-17,False,0.42263371930989535
2018-12-18,False,2.8323206961815854
2018-12-19,False,3.271963010234416
2018-12-20,False,3.8104276968562334
2018-12-21,False,5.665156941902507
2018-12-24,False,5.5630491792697345
2018-12-26,False,4.572601294350013
2018-12-27,True,3.2639024628713385
2018-12-28,True,2.213347069831972
2018-12-31,True,1.24281707452588
2019-01-02,True,0.7116559101842777
2019-01-03,True,-0.9275050138042454
2019-01-04,True,-0.7546725055886386
2019-01-07,True,-0.3836533011752898
2019-01-08,True,-0.5132879071052704
2019-01-09,True,-0.5702020651939186
2019-01-10,True,-0.6059053153179635
2019-01-11,True,-1.5983757886941439
2019-01-14,True,-2.267820276362627
2019-01-15,True,-1.4839992295243882
2019-01-16,True,-2.1168260912307417
2019-01-17,True,1.10590680020535
2019-01-18,True,2.4422085298679894
2019-01-22,True,3.39540058253965
2019-01-23,True,3.6097114940090753
2019-01-24,True,5.017043525028781
2019-01-25,True,1.5292672474271098
2019-01-28,False,0.8115194559531114
2019-01-29,False,0.02533386165025674
2019-01-30,False,-1.4206224160161867
2019-01-31,False,-2.1895639106524136
2019-02-01,False,-0.6760860514948455
2019-02-04,False,-1.1430892749071775
2019-02-05,False,-0.8267145032797845
2019-02-06,False,-0.2046071171619414
2019-02-07,False,-1.1227074761876477
2019-02-08,False,-0.3175021195827982
2019-02-11,False,1.8352620522853489
2019-02-12,False,3.1243685976837545
2019-02-13,False,1.0632012981808647
2019-02-14,False,2.5982102940648275
2019-02-15,False,0.6466374662664213
2019-02-19,False,-0.7553374397964975
2019-02-20,False,-3.0477690534808057
2019-02-21,False,-1.6151537273181298
2019-02-22,False,-4.756827688357791
2019-02-25,False,-5.240805007002689
2019-02-26,False,-5.23346443280456
2019-02-27,False,-4.362547786617505
2019-02-28,False,-3.790866830617961
2019-03-01,False,0.6767256923441555
2019-03-04,False,1.1915104424067502
2019-03-05,False,2.095075192903184
2019-03-06,False,2.4882754801409113
2019-03-07,True,0.9380980582451175
2019-03-08,True,-0.12448848814650831
2019-03-11,True,0.3547090856055843
2019-03-12,True,-0.24152664374569094
2019-03-13,False,-0.8881380262687505
2019-03-14,False,1.7786700149084047
2019-03-15,False,0.6013483449133094
2019-03-18,False,1.6646431726444106
2019-03-19,False,0.45644737995859525
2019-03-20,False,-0.03936205984407925
2019-03-21,False,-2.97780708713074
2019-03-22,False,-1.8747455238639341
2019-03-25,False,-2.984712256823255
2019-03-26,False,-2.323317779516703
2019-03-27,False,-1.1882132217044252
2019-03-28,False,0.8010245064097951
2019-03-29,False,-0.1129468811055473
2019-04-01,False,0.8073144321701191
2019-04-02,False,0.993850179053205
2019-04-03,False,0.9385409097156553
2019-04-04,False,-1.453231684827316
2019-04-05,False,-0.8210181534536218
2019-04-08,False,-1.4940046106629623
2019-04-09,False,-1.8430970324821523
2019-04-10,False,-1.8591644258614968
2019-04-11,False,0.759386154361545
2019-04-12,False,0.2476802995471366
2019-04-15,False,-1.1776334231088081
2019-04-16,False,0.04699701040815005
2019-04-17,False,-0.40292490729892433
2019-04-18,False,0.43421411689023304
2019-04-22,False,-0.7583668937759162
2019-04-23,False,0.8560013019642397
2019-04-24,False,-1.7127948341685122
2019-04-25,False,-2.183686640171649
2019-04-26,False,-0.6352642233711115
2019-04-29,False,0.08754243303597176
2019-04-30,False,-0.2688171163624263
2019-05-01,False,0.9987470169109983
2019-05-02,False,1.1420086392368929
2019-05-03,False,-1.2216246102578645
2019-05-06,False,-0.9739681338045761
2019-05-07,False,-0.7294359197917717
2019-05-08,False,-0.2707824718265415
2019-05-09,False,-1.5624225751729774
2019-05-10,False,-2.6004097655904475
2019-05-13,False,-2.0878438054996176
2019-05-14,False,-2.602720033330831
2019-05-15,False,-2.317873118528572
2019-05-16,False,0.6745590940477121
2019-05-17,False,1.1916511030434649
2019-05-20,False,-0.892304679717312
2019-05-21,False,-0.006960545223855773
2019-05-22,False,0.31862935661319525
2019-05-23,False,-0.3229461858466538
2019-05-24,False,1.252451834255189
2019-05-28,False,3.1092030318249693
2019-05-29,False,2.6232361609721386
2019-05-30,False,2.7825035118851935
2019-05-31,False,3.1434690879736222
2019-06-03,False,-0.6687654768863294
2019-06-04,False,-0.1766426323054574
2019-06-05,False,-0.21712308838420905
2019-06-06,False,0.02017727144333018
2019-06-07,False,-1.4239953592352856
2019-06-10,False,1.4208783849547812
2019-06-11,False,1.8460351448548988
2019-06-12,False,1.5033793387768228
2019-06-13,False,3.942498517482354
2019-06-14,False,3.2676351610913064
2019-06-17,False,3.6714739105733467
2019-06-18,False,2.0548496444707087
2019-06-19,False,2.236432373051544
2019-06-20,False,-1.7213696265190044
2019-06-21,False,-0.13103260784823864
2019-06-24,False,-1.7195415096187023
2019-06-25,False,-0.899990183834941
2019-06-26,False,-0.20304665554027054
2019-06-27,False,-1.9055763747428713
2019-06-28,False,-1.8594423828825348
2019-07-01,False,-0.2518733159010496
2019-07-02,False,-0.04620289409239774
2019-07-03,False,-1.2203684847345972
2019-07-05,False,1.6157805341658826
2019-07-08,False,2.101721925065146
2019-07-09,False,3.4697659511833727
2019-07-10,False,4.807622543631462
2019-07-11,False,6.7553841496363605
2019-07-12,False,6.1148293811255785
2019-07-15,False,6.641708132408694
2019-07-16,False,5.0315269560253055
2019-07-17,False,4.074907744917654
2019-07-18,False,1.3494141867407998
2019-07-19,False,1.2823070379790742
2019-07-22,False,0.1712112303575792
2019-07-23,False,0.5471147289659627
2019-07-24,False,-1.2644555914281237
2019-07-25,False,-1.343214312984309
2019-07-26,False,-0.6329368723778107
2019-07-29,False,-0.1406212907077697
2019-07-30,False,-0.547114728965966
2019-07-31,False,4.8364714491967735
2019-08-01,False,4.724994882557491
2019-08-02,False,4.076770027738991
2019-08-05,False,4.158281009632233
2019-08-06,False,3.303550832535365
2019-08-07,False,0.5638081775397683
2019-08-08,False,1.6838713229853908
2019-08-09,False,1.1708503837884796
2019-08-12,False,-0.7363153064999453
2019-08-13,False,0.9742454575943358
2019-08-14,False,-0.7446672286470145
2019-08-15,False,-1.0174918966756248
2019-08-16,False,1.7338277631310732
2019-08-19,False,4.1119985470716225
2019-08-20,False,5.770014184074576
2019-08-21,False,6.658027773245538
2019-08-22,False,6.557022041124911
2019-08-23,False,4.441421415119833
2019-08-26,False,7.93266378693081
2019-08-27,False,6.674476644763392
2019-08-28,False,1.9048155648460012
2019-08-29,False,-1.1014330452559302
2019-08-30,False,-0.9170342288428172
2019-09-03,False,-5.594131276852464
2019-09-04,False,-7.271657304809956
2019-09-05,False,-3.3520851759722663
2019-09-06,False,-3.005533929179894
2019-09-09,False,-0.6570181570761422
2019-09-10,False,-0.13866723112775925
2019-09-11,False,-1.3174983160971698
2019-09-12,False,-1.4966473640359685
2019-09-13,False,1.7172198354229433
2019-09-16,False,3.8305076016547956
2019-09-17,False,2.742894631002292
2019-09-18,False,0.93408860526938
2019-09-19,False,0.15741767964737619
2019-09-20,False,-1.054137384654635
2019-09-23,False,-9.596628705692014
2019-09-24,False,-7.3663603153725745
2019-09-25,False,-2.0814209826768466
2019-09-26,False,-1.2208455062621983
2019-09-27,False,-0.06838670003396943
2019-09-30,False,3.254544212705137
2019-10-01,False,2.3838741243823196
2019-10-02,False,0.7701147239519873
2019-10-03,False,-0.37031022266649993
2019-10-04,False,-0.44569538687593885
2019-10-07,False,1.008814449697985
2019-10-08,False,-1.7695522876365957
2019-10-09,False,-2.149521476904996
2019-10-10,False,0.09127591028191151
2019-10-11,False,0.22881210488721904
2019-10-14,False,-0.6143461270608115
2019-10-15,False,0.742554610485828
2019-10-16,False,0.9521717347678174
2019-10-17,False,1.1509752831521305
2019-10-18,False,2.030436201888702
2019-10-21,False,1.641148957381788
2019-10-22,False,1.8973508964727548
2019-10-23,False,1.6868979742163466
2019-10-24,False,1.5383606402695562
2019-10-25,False,0.7974370988187828
2019-10-28,False,1.1052300874743324
2019-10-29,False,-1.4453118426810312
2019-10-30,False,-1.453111037688776
2019-10-31,False,-5.970219118952641
2019-11-01,False,-7.022741363248619
2019-11-04,False,-7.203486218488893
2019-11-05,False,-4.908426424041115
2019-11-06,False,-3.831440448752538
2019-11-07,False,0.2530747616661436
2019-11-08,False,0.8897888329635405
2019-11-11,False,1.3216269758831476
2019-11-12,False,2.522339680438513
2019-11-13,False,1.1883171645424706
2019-11-14,False,0.21723725818635062
2019-11-15,False,0.30662235223726825
2019-11-18,False,-0.673444873910967
2019-11-19,False,-0.42773891943515413
2019-11-20,False,-1.1055017892313956
2019-11-21,False,-0.4762017084593796
2019-11-22,False,-0.8811160355707729
2019-11-25,False,1.4943195340111861
2019-11-26,False,-1.3776183270929911
2019-11-27,False,0.17722447608883854
2019-11-29,False,-2.9179885021075735
2019-12-02,False,-1.8221605462690078
2019-12-03,False,-3.137764122293713
2019-12-04,False,-0.31603975638910475
2019-12-05,False,-0.5741876589415176
2019-12-06,True,2.581521104779779
2019-12-09,True,2.9032442385796804
2019-12-10,False,2.275668313745733
2019-12-11,False,1.2404802952553786
2019-12-12,False,1.256549889835813
2019-12-13,False,1.269109850766853
2019-12-16,False,2.2312284023025297
2019-12-17,False,4.486137659526602
2019-12-18,False,5.402065370211758
2019-12-19,False,4.532820140086982
2019-12-20,False,4.453302677463963
2019-12-23,False,2.4127607305035395
2019-12-24,False,1.170125806675581
2019-12-26,False,0.9677050893195687
2019-12-27,False,1.3798649028226224
2019-12-30,False,2.252740075498499
2019-12-31,False,1.4478493258710938
2020-01-02,False,-0.5917451102258592
2020-01-03,False,-0.1938996520397314
2020-01-06,False,-0.9493979291041694
